"id","code","name","date_start","date_end"
"allowance_type_001","001","Sueldos, Salarios  Rayas y Jornales",2016-11-01,
"allowance_type_002","002","Gratificación Anual (Aguinaldo)",2016-11-01,
"allowance_type_003","003","Participación de los Trabajadores en las Utilidades PTU",2016-11-01,
"allowance_type_004","004","Reembolso de Gastos Médicos Dentales y Hospitalarios",2016-11-01,
"allowance_type_005","005","Fondo de Ahorro",2016-11-01,
"allowance_type_006","006","Caja de ahorro",2016-11-01,
"allowance_type_009","009","Contribuciones a Cargo del Trabajador Pagadas por el Patrón",2016-11-01,
"allowance_type_010","010","Premios por puntualidad",2016-11-01,
"allowance_type_011","011","Prima de Seguro de vida",2016-11-01,
"allowance_type_012","012","Seguro de Gastos Médicos Mayores",2016-11-01,
"allowance_type_013","013","Cuotas Sindicales Pagadas por el Patrón",2016-11-01,
"allowance_type_014","014","Subsidios por incapacidad",2016-11-01,
"allowance_type_015","015","Becas para trabajadores y/o hijos",2016-11-01,
"allowance_type_019","019","Horas extra",2016-11-01,
"allowance_type_020","020","Prima dominical",2016-11-01,
"allowance_type_021","021","Prima vacacional",2016-11-01,
"allowance_type_022","022","Prima por antigüedad",2016-11-01,
"allowance_type_023","023","Pagos por separación",2016-11-01,
"allowance_type_024","024","Seguro de retiro",2016-11-01,
"allowance_type_025","025","Indemnizaciones",2016-11-01,
"allowance_type_026","026","Reembolso por funeral",2016-11-01,
"allowance_type_027","027","Cuotas de seguridad social pagadas por el patrón",2016-11-01,
"allowance_type_028","028","Comisiones",2016-11-01,
"allowance_type_029","029","Vales de despensa",2016-11-01,
"allowance_type_030","030","Vales de restaurante",2016-11-01,
"allowance_type_031","031","Vales de gasolina",2016-11-01,
"allowance_type_032","032","Vales de ropa",2016-11-01,
"allowance_type_033","033","Ayuda para renta",2016-11-01,
"allowance_type_034","034","Ayuda para artículos escolares",2016-11-01,
"allowance_type_035","035","Ayuda para anteojos",2016-11-01,
"allowance_type_036","036","Ayuda para transporte",2016-11-01,
"allowance_type_037","037","Ayuda para gastos de funeral",2016-11-01,
"allowance_type_038","038","Otros ingresos por salarios",2016-11-01,
"allowance_type_039","039","Jubilaciones, pensiones o haberes de retiro",2016-11-01,
"allowance_type_044","044","Jubilaciones, pensiones o haberes de retiro en parcialidades",2016-11-01,
"allowance_type_045","045","Ingresos en acciones o títulos valor que representan bienes",2016-11-01,
"allowance_type_046","046","Ingresos asimilados a salarios",2016-11-01,
"allowance_type_047","047","Alimentación diferentes a los establecidos en el Art 94 último párrafo LISR",2016-11-01,
"allowance_type_048","048","Habitación",2016-11-01,
"allowance_type_049","049","Premios por asistencia",2016-11-01,
"allowance_type_050","050","Viáticos",2017-01-06,
"allowance_type_051","051","Pagos por gratificaciones, primas, compensaciones, recompensas u otros a extrabajadores derivados de jubilación en parcialidades",2018-10-15,
"allowance_type_052","052","Pagos que se realicen a extrabajadores que obtengan una jubilación en parcialidades derivados de la ejecución de resoluciones judicial o de un laudo",2018-10-15,
"allowance_type_053","053","Pagos que se realicen a extrabajadores que obtengan una jubilación en una sola exhibición derivados de la ejecución de resoluciones judicial o de un laudo",2018-10-15,
