"id","code","name","date_start","date_end"
"regime_type_002","02","Sueldos (Incluye ingresos señalados en la fracción I del artículo 94 de LISR)",2017-01-01,
"regime_type_003","03","Jubilados",2017-01-01,
"regime_type_004","04","Pensionados",2017-01-01,
"regime_type_005","05","Asimilados Miembros Sociedades Cooperativas Produccion",2017-01-01,
"regime_type_006","06","Asimilados Integrantes Sociedades Asociaciones Civiles",2017-01-01,
"regime_type_007","07","Asimilados Miembros consejos",2017-01-01,
"regime_type_008","08","Asimilados comisionistas",2017-01-01,
"regime_type_009","09","Asimilados Honorarios",2017-01-01,
"regime_type_010","10","Asimilados acciones",2017-01-01,
"regime_type_011","11","Asimilados otros",2017-01-01,
"regime_type_012","12","Jubilados o Pensionados",2017-03-27,
"regime_type_013","13","Indemnización o Separación",2018-10-15,
"regime_type_099","99","Otro Regimen",2017-01-01,
